quarter,Predicted,Actual
1976Q3,0,0.0
1976Q4,0,0.0
1977Q1,0,0.0
1977Q2,0,0.0
1977Q3,0,0.0
1977Q4,0,0.0
1978Q1,0,0.0
1978Q2,0,0.0
1978Q3,0,0.0
1978Q4,0,1.0
1979Q1,1,1.0
1979Q2,0,1.0
1979Q3,1,1.0
1979Q4,0,1.0
1980Q1,0,0.0
1980Q2,0,0.0
1980Q3,0,0.0
1980Q4,0,1.0
1981Q1,0,1.0
1981Q2,0,1.0
1981Q3,0,1.0
1981Q4,1,1.0
1982Q1,0,0.0
1982Q2,0,0.0
1982Q3,0,0.0
1982Q4,0,0.0
1983Q1,0,0.0
1983Q2,0,0.0
1983Q3,0,0.0
1983Q4,0,0.0
1984Q1,0,0.0
1984Q2,0,0.0
1984Q3,0,0.0
1984Q4,0,0.0
1985Q1,0,0.0
1985Q2,0,0.0
1985Q3,0,0.0
1985Q4,0,0.0
1986Q1,0,0.0
1986Q2,0,0.0
1986Q3,0,0.0
1986Q4,0,0.0
1987Q1,0,0.0
1987Q2,0,0.0
1987Q3,0,0.0
1987Q4,0,0.0
1988Q1,0,0.0
1988Q2,0,0.0
1988Q3,0,0.0
1988Q4,0,0.0
1989Q1,0,0.0
1989Q2,1,1.0
1989Q3,1,1.0
1989Q4,0,1.0
1990Q1,0,1.0
1990Q2,0,1.0
1990Q3,1,1.0
1990Q4,0,0.0
1991Q1,0,0.0
1991Q2,0,0.0
1991Q3,0,0.0
1991Q4,0,0.0
1992Q1,0,0.0
1992Q2,0,0.0
1992Q3,0,0.0
1992Q4,0,0.0
1993Q1,0,0.0
1993Q2,0,0.0
1993Q3,0,0.0
1993Q4,0,0.0
1994Q1,0,0.0
1994Q2,0,0.0
1994Q3,0,0.0
1994Q4,0,0.0
1995Q1,0,0.0
1995Q2,0,0.0
1995Q3,0,0.0
1995Q4,0,0.0
1996Q1,0,0.0
1996Q2,0,0.0
1996Q3,0,0.0
1996Q4,0,0.0
1997Q1,0,0.0
1997Q2,0,0.0
1997Q3,0,0.0
1997Q4,0,0.0
1998Q1,0,0.0
1998Q2,0,0.0
1998Q3,0,0.0
1998Q4,0,0.0
1999Q1,1,0.0
1999Q2,1,0.0
1999Q3,0,0.0
1999Q4,0,0.0
2000Q1,0,0.0
2000Q2,0,0.0
2000Q3,1,1.0
2000Q4,1,1.0
2001Q1,1,1.0
2001Q2,0,0.0
2001Q3,0,0.0
2001Q4,1,0.0
2002Q1,0,0.0
2002Q2,0,0.0
2002Q3,0,0.0
2002Q4,0,0.0
2003Q1,0,0.0
2003Q2,0,0.0
2003Q3,0,0.0
2003Q4,0,0.0
2004Q1,0,0.0
2004Q2,0,0.0
2004Q3,0,0.0
2004Q4,0,0.0
2005Q1,0,0.0
2005Q2,0,0.0
2005Q3,0,0.0
2005Q4,0,0.0
2006Q1,0,0.0
2006Q2,0,0.0
2006Q3,0,0.0
2006Q4,0,0.0
2007Q1,0,0.0
2007Q2,0,1.0
2007Q3,0,1.0
2007Q4,0,1.0
2008Q1,0,1.0
2008Q2,0,1.0
2008Q3,1,1.0
2008Q4,1,1.0
2009Q1,1,0.0
2009Q2,0,0.0
2009Q3,1,0.0
2009Q4,0,0.0
2010Q1,0,0.0
2010Q2,0,0.0
2010Q3,0,0.0
2010Q4,0,0.0
2011Q1,0,0.0
2011Q2,0,0.0
2011Q3,0,0.0
2011Q4,0,0.0
2012Q1,0,0.0
2012Q2,0,0.0
2012Q3,1,0.0
2012Q4,0,0.0
2013Q1,1,0.0
2013Q2,0,0.0
2013Q3,0,0.0
2013Q4,0,0.0
2014Q1,0,0.0
2014Q2,0,0.0
2014Q3,0,0.0
2014Q4,0,0.0
2015Q1,0,0.0
2015Q2,0,0.0
2015Q3,0,0.0
2015Q4,0,0.0
2016Q1,0,0.0
2016Q2,0,0.0
2016Q3,0,0.0
2016Q4,0,0.0
2017Q1,0,0.0
2017Q2,0,0.0
2017Q3,0,0.0
2017Q4,0,0.0
2018Q1,0,0.0
2018Q2,0,0.0
2018Q3,0,0.0
