quarter,avg_unemployment_rate
1948Q1,4.3999999999999995
1948Q2,3.766666666666667
1948Q3,3.6333333333333333
1948Q4,3.266666666666666
1949Q1,5.466666666666666
1949Q2,5.833333333333333
1949Q3,6.400000000000001
1949Q4,5.933333333333334
1950Q1,7.533333333333334
1950Q2,5.633333333333333
1950Q3,4.466666666666666
1950Q4,3.6666666666666665
1951Q1,4.133333333333334
1951Q2,3.1666666666666665
1951Q3,3.0666666666666664
1951Q4,2.966666666666667
1952Q1,3.6
1952Q2,3.0333333333333337
1952Q3,3.0333333333333337
1952Q4,2.466666666666667
1953Q1,3.1666666666666665
1953Q2,2.6666666666666665
1953Q3,2.5666666666666664
1953Q4,3.3000000000000003
1954Q1,6.133333333333333
1954Q2,5.833333333333333
1954Q3,5.466666666666668
1954Q4,4.766666666666667
1955Q1,5.566666666666666
1955Q2,4.500000000000001
1955Q3,3.766666666666667
1955Q4,3.6999999999999997
1956Q1,4.733333333333333
1956Q2,4.333333333333333
1956Q3,3.833333333333334
1956Q4,3.6666666666666665
1957Q1,4.633333333333334
1957Q2,4.166666666666667
1957Q3,3.8333333333333335
1957Q4,4.3999999999999995
1958Q1,7.3999999999999995
1958Q2,7.3999999999999995
1958Q3,6.7
1958Q4,5.7
1959Q1,6.8
1959Q2,5.166666666666667
1959Q3,4.8999999999999995
1959Q4,5.033333333333333
1960Q1,5.966666666666666
1960Q2,5.266666666666667
1960Q3,5.133333333333333
1960Q4,5.666666666666667
1961Q1,7.833333333333333
1961Q2,6.966666666666666
1961Q3,6.300000000000001
1961Q4,5.633333333333333
1962Q1,6.466666666666666
1962Q2,5.5
1962Q3,5.166666666666667
1962Q4,5.033333333333334
1963Q1,6.6000000000000005
1963Q2,5.766666666666667
1963Q3,5.2
1963Q4,5.1000000000000005
1964Q1,6.166666666666667
1964Q2,5.333333333333333
1964Q3,4.733333333333333
1964Q4,4.533333333333334
1965Q1,5.433333333333333
1965Q2,4.766666666666667
1965Q3,4.166666666666667
1965Q4,3.733333333333333
1966Q1,4.2
1966Q2,3.966666666666667
1966Q3,3.6
1966Q4,3.3666666666666667
1967Q1,4.1000000000000005
1967Q2,3.766666666666667
1967Q3,3.8333333333333335
1967Q4,3.6666666666666665
1968Q1,4.0
1968Q2,3.533333333333333
1968Q3,3.6
1968Q4,3.1999999999999997
1969Q1,3.6333333333333333
1969Q2,3.4
1969Q3,3.6666666666666665
1969Q4,3.3333333333333335
1970Q1,4.5
1970Q2,4.666666666666666
1970Q3,5.166666666666667
1970Q4,5.3999999999999995
1971Q1,6.5
1971Q2,5.833333333333333
1971Q3,5.966666666666668
1971Q4,5.533333333333334
1972Q1,6.333333333333333
1972Q2,5.6000000000000005
1972Q3,5.6000000000000005
1972Q4,4.933333333333334
1973Q1,5.433333333333334
1973Q2,4.866666666666666
1973Q3,4.8
1973Q4,4.466666666666667
1974Q1,5.6000000000000005
1974Q2,5.066666666666666
1974Q3,5.566666666666666
1974Q4,6.133333333333333
1975Q1,9.066666666666668
1975Q2,8.666666666666666
1975Q3,8.333333333333334
1975Q4,7.8
1976Q1,8.533333333333333
1976Q2,7.3999999999999995
1976Q3,7.599999999999999
1976Q4,7.333333333333333
1977Q1,8.233333333333334
1977Q2,6.933333333333334
1977Q3,6.8
1977Q4,6.3
1978Q1,6.866666666666667
1978Q2,5.833333333333333
1978Q3,6.0
1978Q4,5.566666666666666
1979Q1,6.3
1979Q2,5.566666666666666
1979Q3,5.833333333333333
1979Q4,5.633333333333333
1980Q1,6.766666666666666
1980Q2,7.2
1980Q3,7.566666666666666
1980Q4,7.033333333333334
1981Q1,7.966666666666666
1981Q2,7.266666666666667
1981Q3,7.266666666666667
1981Q4,7.900000000000001
1982Q1,9.5
1982Q2,9.366666666666665
1982Q3,9.7
1982Q4,10.266666666666667
1983Q1,11.166666666666666
1983Q2,10.0
1983Q3,9.133333333333335
1983Q4,8.166666666666666
1984Q1,8.433333333333335
1984Q2,7.400000000000001
1984Q3,7.3
1984Q4,6.966666666666666
1985Q1,7.766666666666667
1985Q2,7.2
1985Q3,7.066666666666667
1985Q4,6.733333333333333
1986Q1,7.533333333333334
1986Q2,7.1000000000000005
1986Q3,6.833333333333333
1986Q4,6.5
1987Q1,7.133333333333333
1987Q2,6.2
1987Q3,5.866666666666666
1987Q4,5.566666666666667
1988Q1,6.133333333333333
1988Q2,5.3999999999999995
1988Q3,5.366666666666667
1988Q4,5.066666666666666
1989Q1,5.6000000000000005
1989Q2,5.2
1989Q3,5.166666666666666
1989Q4,5.1
1990Q1,5.8
1990Q2,5.3
1990Q3,5.566666666666666
1990Q4,5.8
1991Q1,7.199999999999999
1991Q2,6.733333333333333
1991Q3,6.633333333333333
1991Q4,6.7
1992Q1,8.033333333333333
1992Q2,7.5
1992Q3,7.466666666666668
1992Q4,7.033333333333334
1993Q1,7.733333333333334
1993Q2,6.966666666666666
1993Q3,6.666666666666667
1993Q4,6.233333333333334
1994Q1,7.066666666666666
1994Q2,6.1000000000000005
1994Q3,5.900000000000001
1994Q4,5.266666666666667
1995Q1,5.933333333333334
1995Q2,5.633333333333333
1995Q3,5.633333333333333
1995Q4,5.233333333333333
1996Q1,6.033333333333334
1996Q2,5.433333333333334
1996Q3,5.233333333333333
1996Q4,4.966666666666667
1997Q1,5.7
1997Q2,4.8999999999999995
1997Q3,4.833333333333333
1997Q4,4.366666666666666
1998Q1,5.066666666666666
1998Q2,4.333333333333333
1998Q3,4.533333333333333
1998Q4,4.1000000000000005
1999Q1,4.633333333333334
1999Q2,4.2
1999Q3,4.266666666666667
1999Q4,3.766666666666667
2000Q1,4.3999999999999995
2000Q2,3.8666666666666667
2000Q3,4.033333333333334
2000Q4,3.6666666666666665
2001Q1,4.6000000000000005
2001Q2,4.333333333333333
2001Q3,4.766666666666667
2001Q4,5.233333333333333
2002Q1,6.166666666666667
2002Q2,5.733333333333333
2002Q3,5.666666666666667
2002Q4,5.533333333333332
2003Q1,6.366666666666667
2003Q2,6.033333333333334
2003Q3,6.033333333333334
2003Q4,5.533333333333334
2004Q1,6.1000000000000005
2004Q2,5.5
2004Q3,5.400000000000001
2004Q4,5.133333333333334
2005Q1,5.633333333333333
2005Q2,5.0
2005Q3,4.966666666666668
2005Q4,4.666666666666666
2006Q1,5.0
2006Q2,4.566666666666666
2006Q3,4.666666666666667
2006Q4,4.233333333333333
2007Q1,4.8
2007Q2,4.433333333333334
2007Q3,4.666666666666667
2007Q4,4.566666666666666
2008Q1,5.266666666666667
2008Q2,5.233333333333333
2008Q3,6.033333333333334
2008Q4,6.566666666666666
2009Q1,8.799999999999999
2009Q2,9.133333333333333
2009Q3,9.6
2009Q4,9.533333333333333
2010Q1,10.4
2010Q2,9.466666666666667
2010Q3,9.466666666666667
2010Q4,9.133333333333333
2011Q1,9.5
2011Q2,8.9
2011Q3,9.066666666666666
2011Q4,8.333333333333334
2012Q1,8.633333333333333
2012Q2,8.0
2012Q3,8.133333333333333
2012Q4,7.5
2013Q1,8.066666666666668
2013Q2,7.3999999999999995
2013Q3,7.333333333333333
2013Q4,6.7
2014Q1,6.933333333333334
2014Q2,6.1000000000000005
2014Q3,6.166666666666667
2014Q4,5.466666666666666
2015Q1,5.833333333333333
2015Q2,5.3
2015Q3,5.233333333333333
2015Q4,4.8
2016Q1,5.2
2016Q2,4.766666666666667
2016Q3,4.966666666666666
2016Q4,4.533333333333334
2017Q1,4.866666666666666
2017Q2,4.233333333333333
2017Q3,4.3999999999999995
2017Q4,3.9
2018Q1,4.333333333333333
2018Q2,3.8333333333333335
2018Q3,3.8666666666666667
2018Q4,3.5666666666666664
2019Q1,4.133333333333334
2019Q2,3.5
2019Q3,3.6999999999999997
